 ,Mean1,IntDen1,RawIntDen1
1,36.346,2362.195,341548
2,35.358,2297.944,332258
3,34.382,2234.488,323083
4,34.293,2228.755,322254
5,34.396,2235.401,323215
6,29.841,1939.397,280416
7,30.147,1959.302,283294
8,30.488,1981.454,286497
9,30.132,1958.278,283146
10,30.404,1975.976,285705
11,30.536,1984.566,286947
12,30.531,1984.255,286902
13,30.331,1971.253,285022
14,30.243,1965.526,284194
15,30.101,1956.300,282860
16,30.045,1952.655,282333
17,30.206,1963.147,283850
18,29.969,1947.738,281622
19,29.990,1949.107,281820
20,30.025,1951.362,282146
21,29.851,1940.047,280510
22,30.002,1949.889,281933
23,29.999,1949.695,281905
24,29.815,1937.723,280174
25,29.583,1922.605,277988
26,29.732,1932.308,279391
27,29.665,1927.978,278765
28,29.660,1927.612,278712
29,29.210,1898.405,274489
30,29.252,1901.144,274885
31,29.320,1905.529,275519
32,29.545,1920.149,277633
33,29.218,1898.910,274562
34,29.142,1893.937,273843
35,29.354,1907.756,275841
36,29.066,1889.034,273134
37,29.200,1897.720,274390
38,28.671,1863.347,269420
39,28.898,1878.134,271558
40,29.121,1892.582,273647
41,28.932,1880.326,271875
42,28.980,1883.425,272323
43,28.904,1878.521,271614
44,28.850,1874.959,271099
45,28.966,1882.553,272197
46,28.755,1868.845,270215
47,28.856,1875.374,271159
48,28.318,1840.406,266103
49,28.489,1851.534,267712
50,28.657,1862.476,269294
51,28.667,1863.126,269388
52,28.896,1877.989,271537
53,28.055,1823.351,263637
54,28.201,1832.785,265001
55,28.154,1829.776,264566
56,27.935,1815.515,262504
57,28.500,1852.260,267817
58,28.101,1826.339,264069
59,28.492,1851.693,267735
60,28.594,1858.381,268702
61,28.108,1826.795,264135
62,28.366,1843.532,266555
63,28.409,1846.313,266957
64,28.341,1841.886,266317
65,28.658,1862.531,269302
66,28.485,1851.258,267672
67,28.518,1853.409,267983
68,27.985,1818.745,262971
69,28.355,1842.834,266454
70,28.389,1845.005,266768
71,28.358,1843.014,266480
72,28.399,1845.676,266865
73,28.319,1840.503,266117
74,28.246,1835.724,265426
75,28.388,1844.943,266759
76,28.244,1835.613,265410
77,28.084,1825.205,263905
78,27.851,1810.079,261718
79,27.910,1813.904,262271
80,27.439,1783.279,257843
81,27.741,1802.886,260678
82,27.733,1802.416,260610
83,27.369,1778.763,257190
84,27.517,1788.355,258577
85,27.494,1786.861,258361
86,27.278,1772.849,256335
87,27.645,1796.655,259777
88,27.559,1791.060,258968
89,27.792,1806.206,261158
90,27.591,1793.162,259272
91,27.563,1791.350,259010
92,27.606,1794.165,259417
93,27.335,1776.549,256870
94,27.387,1779.904,257355
95,27.320,1775.540,256724
96,27.224,1769.343,255828
97,27.009,1755.352,253805
98,26.875,1746.644,252546
99,27.153,1764.688,255155
100,26.948,1751.375,253230
101,26.957,1751.949,253313
102,27.006,1755.172,253779
103,26.895,1747.910,252729
104,26.970,1752.786,253434
105,27.030,1756.728,254004
106,26.685,1734.271,250757
107,26.563,1726.338,249610
108,0.000,0.000,0
