 ,Mean1,IntDen1,RawIntDen1,Mean2,IntDen2,RawIntDen2
1,35.461,7963.606,1151452,36.365,6418.906,928105
2,34.280,7698.434,1113111,35.152,6204.810,897149
3,34.001,7635.836,1104060,34.799,6142.537,888145
4,33.648,7556.418,1092577,34.817,6145.760,888611
5,33.666,7560.568,1093177,34.496,6089.096,880418
6,26.197,5883.175,850644,29.739,5249.428,759011
7,26.454,5940.793,858975,30.037,5301.908,766599
8,26.366,5921.068,856123,30.221,5334.372,771293
9,26.287,5903.370,853564,30.235,5336.952,771666
10,26.512,5953.955,860878,30.191,5329.088,770529
11,26.492,5949.404,860220,30.161,5323.860,769773
12,26.504,5952.060,860604,30.276,5344.124,772703
13,26.360,5919.851,855947,30.282,5345.244,772865
14,26.297,5905.576,853883,30.162,5324.053,769801
15,26.288,5903.578,853594,30.353,5357.749,774673
16,26.214,5887.048,851204,30.140,5320.070,769225
17,26.176,5878.521,849971,30.167,5324.925,769927
18,26.007,5840.419,844462,29.969,5290.012,764879
19,26.014,5842.017,844693,29.857,5270.094,761999
20,26.097,5860.615,847382,29.931,5283.165,763889
21,25.982,5834.983,843676,29.917,5280.717,763535
22,26.072,5855.137,846590,29.839,5267.050,761559
23,26.010,5841.062,844555,29.746,5250.652,759188
24,25.903,5817.181,841102,29.829,5265.245,761298
25,25.815,5797.276,838224,29.720,5245.929,758505
26,25.908,5818.315,841266,29.722,5246.427,758577
27,25.886,5813.384,840553,29.747,5250.673,759191
28,25.845,5804.179,839222,29.556,5217.088,754335
29,25.603,5749.659,831339,29.378,5185.703,749797
30,25.479,5721.821,827314,29.428,5194.445,751061
31,25.522,5731.525,828717,29.197,5153.612,745157
32,25.580,5744.645,830614,29.097,5136.031,742615
33,25.466,5719.083,826918,29.130,5141.848,743456
34,25.440,5713.231,826072,29.140,5143.660,743718
35,25.494,5725.183,827800,29.002,5119.294,740195
36,25.220,5663.774,818921,28.875,5096.837,736948
37,25.281,5677.523,820909,29.010,5120.712,740400
38,25.149,5647.895,816625,28.961,5111.935,739131
39,25.322,5686.611,822223,28.931,5106.665,738369
40,25.163,5650.938,817065,28.892,5099.901,737391
41,25.186,5656.097,817811,28.823,5087.667,735622
42,25.091,5634.810,814733,28.536,5036.930,728286
43,25.052,5626.130,813478,28.714,5068.454,732844
44,25.026,5620.147,812613,28.875,5096.844,736949
45,25.132,5643.904,816048,28.689,5063.965,732195
46,25.014,5617.499,812230,28.709,5067.471,732702
47,25.067,5629.457,813959,28.674,5061.302,731810
48,24.860,5582.924,807231,28.554,5040.132,728749
49,24.783,5565.600,804726,28.485,5027.918,726983
50,24.818,5573.422,805857,28.658,5058.577,731416
51,24.826,5575.199,806114,28.556,5040.499,728802
52,25.139,5645.516,816281,28.760,5076.469,734003
53,24.413,5482.571,792721,27.817,4910.157,709956
54,24.531,5508.957,796536,27.834,4913.124,710385
55,24.573,5518.390,797900,28.009,4943.998,714849
56,24.485,5498.665,795048,28.156,4969.988,718607
57,24.561,5515.859,797534,28.074,4955.423,716501
58,24.232,5441.939,786846,28.081,4956.682,716683
59,25.088,5634.097,814630,28.134,4966.081,718042
60,25.129,5643.337,815966,28.529,5035.761,728117
61,25.089,5634.318,814662,28.542,5038.092,728454
62,24.946,5602.324,810036,28.463,5024.080,726428
63,24.959,5605.215,810454,28.454,5022.468,726195
64,24.992,5612.470,811503,28.289,4993.399,721992
65,25.192,5657.494,818013,28.393,5011.824,724656
66,25.075,5631.151,814204,28.436,5019.307,725738
67,25.133,5644.236,816096,28.620,5051.875,730447
68,24.911,5594.385,808888,28.446,5021.119,726000
69,25.144,5646.781,816464,28.375,5008.539,724181
70,25.076,5631.420,814243,28.504,5031.348,727479
71,25.046,5624.636,813262,28.492,5029.308,727184
72,25.085,5633.419,814532,28.431,5018.415,725609
73,25.067,5629.415,813953,28.306,4996.477,722437
74,24.935,5599.821,809674,28.291,4993.773,722046
75,25.097,5636.089,814918,28.535,5036.750,728260
76,24.989,5611.875,811417,28.281,4991.906,721776
77,24.997,5613.632,811671,28.346,5003.386,723436
78,24.717,5550.744,802578,28.044,4950.173,715742
79,24.781,5565.226,804672,28.033,4948.265,715466
80,24.548,5512.864,797101,28.110,4961.800,717423
81,24.608,5526.378,799055,27.800,4907.051,709507
82,24.418,5483.650,792877,27.815,4909.742,709896
83,24.299,5457.009,789025,27.840,4914.203,710541
84,24.407,5481.243,792529,27.820,4910.613,710022
85,24.286,5454.021,788593,27.826,4911.665,710174
86,24.345,5467.238,790504,27.962,4935.732,713654
87,24.366,5472.080,791204,27.886,4922.281,711709
88,24.332,5464.368,790089,27.932,4930.449,712890
89,24.405,5480.794,792464,28.159,4970.528,718685
90,24.427,5485.753,793181,28.136,4966.316,718076
91,24.463,5493.852,794352,27.944,4932.579,713198
92,24.323,5462.342,789796,27.879,4921.015,711526
93,24.257,5447.458,787644,27.765,4900.917,708620
94,24.152,5423.992,784251,27.536,4860.541,702782
95,24.188,5431.973,785405,27.547,4862.436,703056
96,24.037,5398.160,780516,27.623,4875.867,704998
97,23.976,5384.362,778521,27.396,4835.725,699194
98,23.904,5368.178,776181,27.286,4816.305,696386
99,24.063,5403.893,781345,27.697,4888.869,706878
100,24.026,5395.725,780164,27.698,4889.104,706912
101,23.931,5374.237,777057,27.339,4825.773,697755
102,23.808,5346.586,773059,27.424,4840.649,699906
103,23.934,5374.887,777151,27.466,4848.091,700982
104,23.797,5344.221,772717,27.458,4846.653,700774
105,23.621,5304.570,766984,27.198,4800.882,694156
106,23.577,5294.860,765580,27.110,4785.375,691914
107,23.500,5277.445,763062,27.083,4780.604,691224
108,0.000,0.000,0,0.000,0.000,0
